,Unnamed: 0,ward code,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,ward name,nonwork_rate,middle_high_class_pro,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,young_people,children_teenager,old_people,middle_aged,household_deprivation_rate,mean_rent_price
96,96,E05011230,16,9.0,0.0,7.0,0.0,107.3125,2.875,0.8223076923076923,234.0625,4.741,Sidcup,0.08,0.51,0.09,0.3,4.63,15732.0,0.05,0.17,97.79,0.13,0.17,0.2,0.5,0.52,1290.6
97,97,E05011231,50,22.0,0.0,28.0,0.0,76.38,2.32,1.1224242424242423,213.3,4.694230769230769,Slade Green & Northend,0.11,0.39,0.09,0.36,6.84,12875.0,0.05,0.16,100.33,0.13,0.24,0.09,0.54,0.6,1103.28
98,98,E05011232,77,33.0,0.0,42.0,2.0,94.37662337662336,1.9090909090909087,1.0617857142857143,268.8051948051948,4.612051282051282,Thamesmead East,0.12,0.33,0.13,0.46,6.8,15939.0,0.05,0.14,114.5,0.13,0.23,0.09,0.55,0.62,987.15
99,99,E05011233,18,9.0,0.0,9.0,0.0,96.61111111111111,2.2222222222222223,0.8733333333333334,209.94444444444449,4.796666666666667,West Heath,0.07,0.51,0.06,0.26,4.77,15671.0,0.04,0.14,36.58,0.11,0.18,0.2,0.51,0.49,1277.1
100,100,E05011234,36,5.0,0.0,31.0,0.0,66.27777777777777,2.388888888888889,0.9328571428571428,192.94444444444449,4.668695652173913,Aldborough,0.11,0.44,0.1,0.43,5.91,15584.0,0.04,0.12,95.0,0.12,0.21,0.13,0.54,0.53,1206.87
101,101,E05011235,36,15.0,0.0,21.0,0.0,87.41666666666667,1.6944444444444444,0.5557142857142857,140.44444444444446,4.61,Barkingside,0.12,0.46,0.1,0.41,5.74,15213.0,0.04,0.11,73.33,0.12,0.19,0.14,0.55,0.53,1156.71
102,102,E05011236,34,14.0,0.0,18.0,2.0,125.32352941176472,2.911764705882353,0.9136363636363636,128.41176470588235,4.76,Bridge,0.08,0.51,0.07,0.37,4.71,13395.0,0.04,0.13,63.92,0.1,0.18,0.14,0.58,0.48,1279.6
103,103,E05011237,37,12.0,0.0,25.0,0.0,90.4054054054054,3.1621621621621623,1.3818181818181818,171.0810810810811,4.733529411764706,Chadwell,0.12,0.41,0.11,0.39,6.05,16615.0,0.04,0.12,77.71,0.13,0.24,0.1,0.53,0.54,1091.1
104,104,E05011238,35,19.0,0.0,16.0,0.0,128.8,4.171428571428572,0.8509090909090908,148.62857142857143,4.807857142857143,Churchfields,0.08,0.55,0.08,0.37,4.31,15683.0,0.04,0.12,64.79,0.1,0.2,0.13,0.57,0.47,1286.8
105,105,E05011239,54,26.0,0.0,27.0,1.0,146.64814814814815,2.7777777777777777,1.43625,235.1296296296296,4.71,Clayhall,0.12,0.45,0.12,0.34,5.67,13794.0,0.04,0.12,69.75,0.15,0.17,0.15,0.53,0.52,1220.17
106,106,E05011240,24,3.0,0.0,20.0,1.0,89.91666666666667,9.458333333333334,1.0335714285714286,144.66666666666666,4.782727272727272,Clementswood,0.2,0.29,0.12,0.41,5.64,13780.0,0.05,0.11,94.54,0.14,0.23,0.1,0.53,0.64,1079.49
107,107,E05011241,59,22.0,0.0,37.0,0.0,107.27118644067797,3.389830508474576,1.0577777777777777,248.728813559322,4.59,Cranbrook,0.14,0.43,0.11,0.42,5.18,13215.0,0.04,0.13,90.38,0.13,0.18,0.14,0.55,0.56,1185.25
108,108,E05011242,27,12.0,0.0,14.0,1.0,101.92592592592592,7.444444444444445,0.54,101.8148148148148,4.608333333333333,Fairlop,0.1,0.43,0.09,0.41,5.82,14760.0,0.04,0.12,82.46,0.11,0.2,0.12,0.57,0.51,1198.35
109,109,E05011243,20,5.0,0.0,15.0,0.0,85.9,6.65,0.612,209.4,4.651428571428572,Fullwell,0.11,0.43,0.1,0.33,5.47,15970.0,0.05,0.13,78.54,0.13,0.2,0.15,0.52,0.55,1177.07
110,110,E05011244,47,20.0,0.0,25.0,2.0,101.04255319148936,5.617021276595745,1.0624137931034483,159.72340425531914,4.606521739130435,Goodmayes,0.16,0.36,0.11,0.44,5.75,15147.0,0.04,0.11,115.58,0.13,0.22,0.1,0.55,0.61,1057.19
111,111,E05011245,21,8.0,0.0,13.0,0.0,92.23809523809524,1.809523809523809,0.4092307692307692,183.0,4.8725000000000005,Hainault,0.11,0.4,0.08,0.37,6.59,15698.0,0.05,0.14,84.08,0.11,0.21,0.12,0.56,0.58,1186.32
112,112,E05011246,32,16.0,0.0,16.0,0.0,132.0,3.5,1.3422727272727273,133.15625,4.47,Ilford Town,0.18,0.38,0.12,0.53,5.0,12119.0,0.04,0.1,266.17,0.12,0.27,0.05,0.56,0.62,1177.07
113,113,E05011247,49,20.0,0.0,29.0,0.0,91.42857142857144,2.4489795918367347,0.8218918918918919,221.0408163265306,4.491111111111112,Loxford,0.19,0.29,0.13,0.5,6.09,15071.0,0.05,0.12,121.0,0.15,0.25,0.07,0.53,0.65,975.03
114,114,E05011248,30,6.0,0.0,23.0,1.0,91.56666666666666,1.7,0.6809523809523809,222.2,4.594285714285713,Mayfield,0.14,0.37,0.13,0.36,5.46,15989.0,0.04,0.11,79.62,0.15,0.23,0.11,0.51,0.57,1064.4
115,115,E05011249,16,6.0,0.0,10.0,0.0,105.0625,2.9375,1.52125,186.625,4.722857142857143,Monkhams,0.07,0.61,0.07,0.31,4.39,9548.0,0.04,0.12,36.25,0.1,0.17,0.22,0.51,0.42,1324.73
116,116,E05011250,30,16.0,0.0,14.0,0.0,147.7,3.566666666666667,1.5278260869565217,235.8,4.561052631578948,Newbury,0.14,0.39,0.12,0.41,6.1,14328.0,0.04,0.11,68.46,0.15,0.21,0.11,0.53,0.57,1102.71
117,117,E05011251,18,5.0,0.0,13.0,0.0,84.94444444444444,4.0,1.0576923076923077,290.8888888888889,4.669,Seven Kings,0.16,0.36,0.12,0.43,5.86,15159.0,0.04,0.12,147.33,0.13,0.22,0.1,0.55,0.59,1120.12
118,118,E05011252,49,23.0,0.0,25.0,1.0,78.20408163265306,2.938775510204082,0.8221212121212121,130.3877551020408,4.8148,South Woodford,0.07,0.59,0.06,0.42,4.36,12489.0,0.03,0.12,70.29,0.09,0.18,0.15,0.58,0.43,1324.73
119,119,E05011253,55,33.0,0.0,22.0,0.0,138.5818181818182,3.7454545454545456,0.54575,169.12727272727273,4.510769230769231,Valentines,0.16,0.39,0.12,0.45,5.2,15547.0,0.04,0.11,113.12,0.13,0.21,0.1,0.56,0.6,1137.53
120,120,E05011254,47,31.0,0.0,16.0,0.0,133.36170212765958,4.659574468085107,0.6761764705882354,114.7872340425532,4.819230769230769,Wanstead Park,0.09,0.58,0.07,0.36,3.86,8136.0,0.04,0.13,41.67,0.09,0.2,0.17,0.54,0.45,1285.68
121,121,E05011255,68,35.0,0.0,33.0,0.0,131.25,3.764705882352941,0.9161111111111112,123.73529411764706,4.822857142857143,Wanstead Village,0.07,0.62,0.05,0.41,3.97,13026.0,0.03,0.12,76.21,0.08,0.16,0.17,0.59,0.43,1335.89
122,122,E05011462,33,13.0,0.0,20.0,0.0,80.39393939393939,3.363636363636364,1.2348,113.84848484848484,4.737777777777778,Addiscombe East,0.08,0.53,0.07,0.4,4.36,11802.0,0.04,0.14,71.88,0.1,0.17,0.15,0.58,0.5,1233.78
123,123,E05011463,99,67.0,2.0,30.0,0.0,106.57575757575758,3.515151515151515,1.441168831168831,158.15151515151516,4.78476923076923,Addiscombe West,0.09,0.5,0.08,0.47,4.27,15671.0,0.04,0.14,96.54,0.1,0.19,0.1,0.61,0.51,1271.63
124,124,E05011464,64,12.0,0.0,51.0,1.0,74.9375,2.1875,1.068292682926829,204.28125,4.684666666666667,Bensham Manor,0.12,0.38,0.1,0.43,4.77,16942.0,0.04,0.13,101.21,0.13,0.19,0.12,0.56,0.56,1059.89
125,125,E05011465,67,28.0,0.0,39.0,0.0,77.86567164179104,3.656716417910448,1.2853333333333334,211.0597014925373,4.514864864864865,Broad Green,0.14,0.35,0.11,0.42,5.02,20078.0,0.05,0.13,217.38,0.13,0.22,0.08,0.57,0.62,985.15
126,126,E05011466,15,6.0,0.0,9.0,0.0,118.2,2.6666666666666665,0.5592307692307693,83.4,4.883,Coulsdon Town,0.06,0.6,0.06,0.24,4.84,15252.0,0.03,0.12,58.96,0.1,0.21,0.15,0.54,0.4,1173.85
