ward code,ward name,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,nonwork_rate,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,children_teenager,old_people,middle_aged,mean_rent_price
E05013500,Dollis Hill,81.0,0.0,65.0,0.0,116.96575342465754,5.13013698630137,0.8957547169811321,222.68493150684927,4.611029411764706,0.17,0.11,0.46,4.51,21661.0,0.05,0.13,174.79,0.21,0.12,0.53,1032.43
E05013501,Harlesden & Kensal Green,136.0,0.0,102.0,0.0,133.36974789915968,3.764705882352941,0.892764705882353,125.9201680672269,4.755187969924813,0.13,0.1,0.53,3.86,20090.0,0.05,0.13,203.67,0.19,0.1,0.58,1141.89
E05013502,Kenton,8.0,0.0,20.0,0.0,86.60714285714286,4.785714285714286,1.3426315789473684,181.3928571428572,4.718235294117647,0.13,0.09,0.39,5.07,17705.0,0.04,0.13,75.38,0.16,0.19,0.54,974.28
E05013503,Kilburn,238.0,0.0,87.0,0.0,143.07384615384615,5.046153846153846,0.7812033195020748,121.3323076923077,4.715517241379311,0.12,0.09,0.56,3.15,17202.0,0.05,0.14,143.04,0.16,0.09,0.63,2342.71
E05013504,Kingsbury,19.0,0.0,22.0,1.0,144.1904761904762,3.452380952380953,0.9941379310344828,190.0,4.5885,0.11,0.11,0.42,4.92,11438.0,0.04,0.12,77.21,0.18,0.12,0.57,1053.78
E05013505,Northwick Park,16.0,0.0,20.0,0.0,112.63888888888889,2.638888888888889,0.7878125,186.77777777777777,4.640833333333333,0.11,0.12,0.37,4.95,12127.0,0.04,0.12,69.79,0.15,0.17,0.54,1020.08
E05013506,Preston,13.0,0.0,17.0,0.0,85.56666666666666,3.866666666666666,1.587142857142857,135.66666666666666,4.688666666666666,0.12,0.11,0.48,5.45,12445.0,0.04,0.11,58.25,0.19,0.12,0.56,1007.79
E05013507,Queens Park,254.0,0.0,131.0,1.0,167.53626943005182,4.158031088082901,0.8394370860927152,111.58549222797927,4.739063829787234,0.08,0.08,0.51,2.62,17095.0,0.04,0.12,133.92,0.18,0.12,0.6,1263.98
E05013508,Queensbury,15.0,0.0,15.0,0.0,109.53333333333332,6.433333333333334,0.9884,149.7,4.685238095238096,0.11,0.09,0.43,5.01,16864.0,0.04,0.1,104.21,0.17,0.14,0.56,1061.99
E05013509,Roundwood,51.0,0.0,51.0,0.0,110.30392156862744,5.5,1.1976923076923076,157.49019607843138,4.611587301587301,0.17,0.1,0.52,4.25,16653.0,0.06,0.15,137.5,0.21,0.1,0.56,1057.07
E05013510,Stonebridge,27.0,0.0,36.0,0.0,104.2063492063492,2.9047619047619047,0.8452380952380952,126.38095238095238,4.695625,0.18,0.13,0.45,4.56,20203.0,0.06,0.15,231.46,0.21,0.09,0.55,1081.71
E05013511,Sudbury,12.0,0.0,14.0,1.0,86.85185185185185,3.259259259259259,1.538695652173913,172.22222222222223,4.4705,0.13,0.12,0.49,5.71,13781.0,0.04,0.11,55.79,0.19,0.11,0.57,994.97
E05013512,Tokyngton,18.0,0.0,35.0,0.0,108.67924528301889,3.660377358490566,2.2605405405405405,218.67924528301887,4.791111111111111,0.13,0.11,0.44,5.0,9915.0,0.04,0.11,44.88,0.16,0.15,0.55,873.25
